id_gephi,description_n4_eng,x,y,modularity,mod_label,eccentricity,degree,lon,h_closeness,w_degree,cod_p,cod_p1,closeness,eigenvector,weight,betweenness,group_eng,lat,node
53,Sutatausa,14.87315083,-6.937057495,3,Zone 3,16,44,-73.852667,0.249021934,175335.9,114,11498,0.15906527,0.518262924,5885,0.007836005, Cundinamarca,5.247295,601
62,Sutamarchan,18.91761971,-0.402702332,3,Zone 3,15,56,-73.620936,0.245966248,179292.3,106,10659,0.157115568,0.676609157,5802,9.83E-04, Boyaca,5.620003,266
63,Sachica,20.28527641,-1.050590515,3,Zone 3,15,58,-73.542575,0.25055326,144407.9,106,10690,0.158426966,0.734611893,3746,0.001507628, Boyaca,5.583059,297
68,Chia,11.41301823,-13.63967896,3,Zone 3,15,70,-74.050918,0.27242374,1615976.2,114,11415,0.164692141,0.770853398,138822,0.020594769, Cundinamarca,4.864758,518
69,Cajica,11.86933422,-12.71525574,3,Zone 3,15,67,-74.024773,0.269586861,1209427.3,114,11421,0.164308307,0.76679596,61549,0.012983332, Cundinamarca,4.917531,524
70,Soraca,23.94826889,-2.492164612,3,Zone 3,16,78,-73.332701,0.263497436,246665.9,106,10667,0.158021134,0.92075332,5109,0.008335482, Boyaca,5.500849,274
71,Boyaca,23.4368515,-3.304626465,3,Zone 3,16,65,-73.362003,0.254513985,166917.7,106,10684,0.157165605,0.790660442,4231,0.004944686, Boyaca,5.454511,291
72,Combita,24.11299324,-0.153686523,3,Zone 3,15,77,-73.323263,0.265507587,443949.2,106,10623,0.16103769,0.894001194,15350,0.018910636, Boyaca,5.634202,230
73,Oicata,24.37496758,-0.850830078,3,Zone 3,15,70,-73.3082529,0.260093152,141209.9,106,106105,0.160149278,0.833502271,2833,0.007177126, Boyaca,5.59445,312
100,Villa de Leyva,20.55609894,-0.11340332,3,Zone 3,15,50,-73.527058,0.24250458,281021.1,106,10619,0.156890796,0.631458198,18606,5.07E-04, Boyaca,5.636499,226
103,Duitama,29.18030739,3.226333618,3,Zone 3,16,54,-73.0329273,0.243847141,626527.3,106,10612,0.154774973,0.611208669,114413,0.00603604, Boyaca,5.8268951,219
104,Tocancipa,13.85813904,-11.88363647,3,Zone 3,15,78,-73.9108229,0.27676349,929979.6,114,11425,0.164884731,0.901366605,35439,0.024476135, Cundinamarca,4.965002,528
105,Sopo,13.33021164,-12.8693924,3,Zone 3,15,67,-73.9410709,0.269755723,779121,114,11428,0.164335664,0.773931364,29120,0.012966122, Cundinamarca,4.908732,531
126,Barbosa,19.0093708,5.111930847,3,Zone 3,15,52,-73.615679,0.241226088,349392.6,127,12722,0.155042413,0.48934279,29581,0.024876921, Santander,5.934363,908
127,Puente Nacional,17.92803383,4.121681213,3,Zone 3,15,47,-73.677635,0.240327139,212034.8,127,12733,0.157541899,0.417987408,11718,0.014696761, Santander,5.877927,919
131,Tibana,22.80958176,-5.719230652,3,Zone 3,16,44,-73.397943,0.235686544,163843.4,106,10640,0.150572082,0.579261986,8964,5.12E-04, Boyaca,5.316775,247
136,Gameza,33.13534927,2.799537659,3,Zone 3,16,33,-72.80632,0.218264784,93994.4,106,10677,0.14302275,0.346932667,4551,8.42E-05, Boyaca,5.802567,284
137,Corrales,32.46121597,3.257545471,3,Zone 3,16,34,-72.844945,0.218940232,61249.6,106,106116,0.143064212,0.361603454,2180,9.20E-05, Boyaca,5.828674,323
145,Santana,21.33849525,7.268333435,3,Zone 3,15,37,-73.48223,0.227500432,127728.4,106,10644,0.15273909,0.25360938,7605,0.011466163, Boyaca,6.05724,251
146,Güepsa,19.8225193,6.650001526,3,Zone 3,15,46,-73.569089,0.232566288,94359.5,127,12772,0.153046984,0.377417572,3689,0.015071273, Santander,6.022009,958
165,Ventaquemada,20.63264847,-4.74823761,3,Zone 3,16,84,-73.522672,0.270330311,519183.9,106,10622,0.159347756,1,15827,0.022862051, Boyaca,5.372167,229
166,Villapinzon,19.37683487,-7.499404907,3,Zone 3,16,81,-73.5946249,0.27146247,580787.4,114,11437,0.161962586,0.970307623,21049,0.022905769, Cundinamarca,5.215209,540
168,Samaca,21.26992035,-2.641326904,3,Zone 3,16,68,-73.486159,0.256996254,429274.3,106,10618,0.157491623,0.872090804,20767,0.001663324, Boyaca,5.492342,225
169,Cucaita,21.81650543,-1.747871399,3,Zone 3,16,61,-73.454842,0.251845967,174068.3,106,10674,0.156890796,0.781273166,4709,0.001958025, Boyaca,5.543296,281
172,Tunja,23.51444626,-1.724266052,3,Zone 3,15,82,-73.3575572,0.267573733,972722.4,106,10611,0.160749186,0.947070498,202939,0.010153742, Boyaca,5.5446422,218
173,Raquira,18.72182846,-1.835479736,3,Zone 3,15,48,-73.632154,0.235797145,218841.5,106,10626,0.152786378,0.573866882,14037,4.00E-04, Boyaca,5.5382999,233
186,Moniquira,19.74396324,4.087638855,3,Zone 3,15,53,-73.57359,0.244785092,294481.2,106,10617,0.157970551,0.54385964,21182,0.020331072, Boyaca,5.875987,224
187,Guasca,14.44144344,-13.59627533,3,Zone 3,16,45,-73.877402,0.250502143,334113.4,114,11450,0.158325313,0.551045608,15727,0.002903938, Cundinamarca,4.867236,553
188,Guatavita,15.20516491,-12.41822052,3,Zone 3,16,52,-73.833644,0.24789966,213559.7,114,11494,0.154556843,0.665518624,6963,8.39E-04, Cundinamarca,4.934487,597
200,Chiquinquira,15.45078468,-0.494392395,3,Zone 3,15,47,-73.819571,0.239037283,412399.1,106,10614,0.156146179,0.437651145,69121,0.003419356, Boyaca,5.614775,221
201,Saboya,16.4044323,0.961463928,3,Zone 3,15,47,-73.764931,0.234057868,222778.5,106,10628,0.152550232,0.413930995,12119,0.001637068, Boyaca,5.697783,235
268,Choconta,17.78421974,-8.68838501,3,Zone 3,16,81,-73.685875,0.272714716,692022.5,114,11431,0.160149278,0.955670281,27927,0.019503203, Cundinamarca,5.1473639,534
271,Sogamoso,30.95702362,1.282478333,3,Zone 3,16,42,-72.9311289,0.226720783,470247.7,106,10613,0.145811789,0.480692202,111336,1.90E-04, Boyaca,5.7160848,220
272,Firavitoba,29.85805893,0.454849243,3,Zone 3,16,32,-72.994095,0.217758199,111863.6,106,10661,0.143002028,0.350673608,5732,6.10E-05, Boyaca,5.668899,268
273,San Jose de Pare,20.19425774,6.573150635,3,Zone 3,15,42,-73.54779,0.230539946,104213,106,10671,0.152952115,0.339983341,4955,0.012383549, Boyaca,6.0176299,278
278,Socha,35.1190033,6.213386536,3,Zone 3,17,18,-72.692665,0.194682758,51990.8,106,10650,0.137465181,0.127949808,6924,3.69E-04, Boyaca,5.99713,257
279,Paz de Rio,34.16935349,6.046470642,3,Zone 3,16,26,-72.747076,0.206031144,58621.1,106,10681,0.140678449,0.209415925,4443,0.002643092, Boyaca,5.9876189,288
280,Simijaca,14.88529873,-2.439758301,3,Zone 3,15,47,-73.851971,0.244711042,248805.1,114,11454,0.157642549,0.483855872,13967,0.006838127, Cundinamarca,5.503838,557
283,Cucunuba,16.37071228,-6.880661011,3,Zone 3,16,45,-73.766863,0.239396681,184727,114,11490,0.151241189,0.572342438,7623,2.13E-04, Cundinamarca,5.250513,593
284,Motavita,23.32893944,-1.147254944,3,Zone 3,15,70,-73.368186,0.26085303,268621.9,106,10641,0.160279311,0.835888331,8607,0.007166783, Boyaca,5.577547,248
286,Viracacha,24.58098602,-3.61114502,3,Zone 3,16,48,-73.296449,0.243706825,87329.2,106,106100,0.156294537,0.639051927,3118,6.63E-04, Boyaca,5.437028,307
