id_gephi,node,description_n4_eng,x,y,,modularity,mod_label,eccentricity,degree,lon,h_closeness,w_degree,cod_p,cod_p1,component,closeness,eigenvector,weight,clustering,betweenness,group_eng,region_2,lat
124,61,Barbacoas,36.48558541,-28.86358643,-87.72717285,1,Zone 1,10,12,-66.9719947,0.292440801,135669.9,104,10427,0,0.219582433,0.100530196,21271,0.515151515,0.008028117,Aragua,Urdaneta,9.4811641
199,309,La Guaira,37.76264991,10.88729858,-8.22540284,1,Zone 1,10,34,-66.9313444,0.332815509,2472314,122,12211,0,0.227272727,0.55809014,270792,0.852049911,4.29E-04,Vargas,Vargas,10.6024787
19,206,Guatire,49.48818284,5.81964112,-18.36071776,1,Zone 1,10,31,-66.5581092,0.340308353,2180366.1,115,11531,0,0.236434109,0.462395129,187075,0.776344086,0.056765392,Miranda,Zamora,10.4597466
117,62,Villa de Cura,20.10607567,-9.3765564,-48.7531128,1,Zone 1,9,45,-67.4933707,0.377922196,2575383.2,104,10428,0,0.250822368,0.80143742,144754,0.721212121,0.010011111,Aragua,Zamora,10.0313499
229,163,El Vigia,-110.6501015,-59.49990844,-148.9998169,2,Zone 2,15,20,-71.6554692,0.269933,500011.2,114,11411,0,0.175691244,0.027600458,132681,0.457894737,0.033546809,Merida,Alberto Adriani,8.6144269
49,260,Cordero,-127.1323608,-86.27264404,-202.5452881,2,Zone 2,15,19,-72.1801156,0.234486361,307246.3,120,12011,0,0.153729839,0.033656023,20358,0.807017544,4.61E-04,Tachira,Andres Bello,7.8553585
181,165,Santa Cruz de Mora,-110.2307053,-67.17095948,-164.341919,2,Zone 2,15,15,-71.6421194,0.248089624,198478.7,114,11413,0,0.166575642,0.018720687,24006,0.60952381,0.005618225,Merida,Antonio Pinto Salinas,8.397085
73,261,Las Mesas,-126.8532394,-75.13320922,-180.2664184,2,Zone 2,16,21,-72.1712309,0.245121067,143928.7,120,12012,0,0.15443038,0.035600301,10061,0.604761905,0.002353184,Tachira,Antonio Romulo Costa,8.1713638
37,262,Colon,-129.4580292,-79.80377198,-189.607544,2,Zone 2,16,22,-72.2541441,0.239178031,501425.9,120,12013,0,0.149583129,0.037749865,59335,0.67965368,0.001726064,Tachira,Ayacucho,8.0388983
263,65,El Canton,-99.39072875,-99.58435058,-229.1687012,2,Zone 2,14,6,-71.2970721,0.208771347,48157.5,105,10513,0,0.161290323,0.004927037,16144,0.533333333,0.005501027,Barinas,Blanco,7.4774153
104,263,San Antonio,-135.3779709,-87.59555054,-205.1911011,2,Zone 2,16,14,-72.4425819,0.208751281,377297.1,120,12014,0,0.143664626,0.023522955,61630,0.857142857,7.23E-05,Tachira,Bolivar,7.8178141
47,168,Ejido,-97.6880333,-61.79754638,-153.5950928,2,Zone 2,15,11,-71.2428737,0.23497487,469362.1,114,11416,0,0.164954029,0.013126551,99873,0.745454545,0.001889981,Merida,Campo Elias,8.5493413
14,264,Tariba,-128.2576767,-87.43005372,-204.8601074,2,Zone 2,15,21,-72.2159356,0.248971511,731803.9,120,12015,0,0.164775797,0.034696626,122053,0.642857143,0.01706671,Tachira,Cardenas,7.8225112
249,328,Encontrados,-128.806897,-43.83557129,-117.6711426,2,Zone 2,16,7,-72.233418,0.216213964,106410.3,124,12414,0,0.152043868,0.01178483,40702,0.80952381,3.84E-04,Zulia,Catatumbo,9.0578504
250,329,San Carlos del Zulia,-119.1275299,-45.88043213,-121.7608643,2,Zone 2,16,10,-71.9253141,0.227578783,211171.7,124,12415,0,0.154586923,0.01582812,128729,0.711111111,2.04E-04,Zulia,Colon,8.9999952
126,265,Santa Ana,-130.1964477,-93.75772094,-217.5154419,2,Zone 2,15,16,-72.2776488,0.234841925,318508.4,120,12016,0,0.161975571,0.027112658,33124,0.833333333,0.004954739,Tachira,Cordoba,7.6428856
268,266,El Pinal,-120.2448944,-97.96481324,-225.9296265,2,Zone 2,14,15,-71.9608808,0.233962604,232211.9,120,12017,0,0.166212534,0.021552641,45891,0.6,0.023272842,Tachira,Fernandez Feo,7.5234149
110,267,San Jose de Bolivar,-120.5707626,-84.25189208,-198.5037842,2,Zone 2,17,4,-71.9712536,0.177634293,12631.3,120,12018,0,0.130230572,0.004875127,4127,0.666666667,8.61E-05,Tachira,Francisco de Miranda,7.9127013
74,268,La Fria,-129.3650162,-73.61849976,-177.2369995,2,Zone 2,16,25,-72.2511833,0.252498117,430279,120,12019,0,0.154900965,0.041011553,48476,0.543333333,0.005645598,Tachira,Garcia de Hevia,8.2143135
305,171,Guaraque,-113.1428307,-75.76867676,-181.5373535,2,Zone 2,16,4,-71.7348152,0.193166155,17356.7,114,11419,0,0.143867925,0.004985452,9064,1,0,Merida,Guaraque,8.1533427
15,269,Palmira,-129.2720032,-86.62817382,-203.2563476,2,Zone 2,15,20,-72.2482225,0.236125705,597364.6,120,12020,0,0.153807363,0.035172248,43236,0.773684211,5.47E-04,Tachira,Guasimos,7.845269
92,270,Capacho Nuevo,-130.7601425,-87.29162598,-204.583252,2,Zone 2,15,17,-72.2955915,0.230661224,422405.5,120,12021,0,0.153497735,0.03057382,36964,0.823529412,3.99E-04,Tachira,Independencia,7.8264398
133,271,La Grita,-120.8035217,-76.45739746,-182.9147949,2,Zone 2,16,15,-71.9786626,0.216826557,148914,120,12022,0,0.140229885,0.023312847,41000,0.533333333,0.006100868,Tachira,Jauregui,8.1338118
308,332,Casigua-El Cubo,-138.0111465,-54.84951782,-139.6990356,2,Zone 2,17,7,-72.5263984,0.197736959,57446.2,124,12418,0,0.136709996,0.0127155,30484,0.857142857,1.02E-05,Zulia,Jesus Maria Semprun,8.7461253
